id_autor,nome,nacionalidade
310,Agatha Rodrigues,Barein
311,Maria Alice Rodrigues,Costa Rica
312,Sr. Isaque Garcia,Eritreia
313,Dra. Stephany Farias,Fiji
314,Sra. Maya Marques,Ilhas Virgens Britânicas
315,Vinícius Rocha,Bahamas
316,Clara Casa Grande,Sara Ocidental
317,Ravi Lucca Pastor,Cazaquistão
318,Aurora Oliveira,Cazaquistão
319,Sr. José Miguel Costa,Argentina
320,Eloá Pacheco,Eritreia
321,Igor Sá,Botsuana
322,Caleb Fonseca,Togo
323,Rafaela Cunha,Laos
324,Sra. Melissa Barbosa,Samoa Americana
325,Esther Camargo,Estados Unidos
326,Maria Helena Mendonça,Libéria
327,Aurora Almeida,Antártica
328,Srta. Sarah Lopes,Birmânia
329,Eduardo Camargo,Iran
330,José Freitas,Luxemburgo
331,Júlia Rezende,Coral Sea Islands
332,Gustavo Oliveira,Namíbia
333,Milena Pimenta,Nova Caledónia
334,Ana Clara Peixoto,Santa Helena
335,Henrique Costela,Filipinas
336,Aurora Pinto,Guiné
337,Rafael Borges,Coreia do Sul
338,Antônio Montenegro,Senegal
339,Gustavo Henrique Carvalho,Nepal
340,Enzo Gabriel Porto,Congo-Kinshasa
341,Liam Aragão,Coral Sea Islands
342,Rebeca Casa Grande,Ilhas Virgens Britânicas
343,Yasmin Aparecida,República Centro-Africana
344,Maya Souza,Tajiquistão
345,Rhavi Machado,Dinamarca
346,Henrique Alves,Território Britânico do Oceano Índico
347,Sofia Gomes,Marrocos
348,Cecília Lima,Egito
349,Manuella Garcia,Áustria
350,Melina Rezende,Costa do Marfim
351,Valentina da Cruz,Gabão
352,Maria Luiza Fernandes,Quênia
353,Emanuel Martins,Guernsey
354,Isabelly Sá,Áustria
355,Thales Peixoto,Tailândia
356,José Miguel Cassiano,Costa Rica
357,Vitória Camargo,Iraque
358,Ravi Lucca Correia,Ilhas Turcas e Caicos
359,Davi Casa Grande,Serra Leoa
360,Sr. Yuri Pereira,Filipinas
361,Carolina da Rocha,Hong Kong
362,Amanda Pinto,Ilhas Salomão
363,Mariane Azevedo,República Checa
364,Laura Abreu,Chipre
365,Leonardo Almeida,Papua-Nova Guiné
366,Ester Araújo,Zâmbia
367,Ana Lívia Sousa,Andorra
368,Catarina Pires,Granada
369,Ísis da Mota,Santa Helena
370,Heloisa Azevedo,Estados Unidos
371,Sra. Antonella Carvalho,Clipperton Island
372,Augusto Lopes,Samoa Americana
373,Sra. Julia Vargas,Burundi
374,Maria Vitória Azevedo,Albânia
375,Catarina Casa Grande,Senegal
376,Thiago Novais,Somália
377,Sophie Lima,Bangladesh
378,Luiz Felipe Sampaio,Costa Rica
379,Dra. Ana Cecília Pinto,Navassa Island
380,Yuri da Mata,Navassa Island
381,Otávio Novaes,Colômbia
382,Brayan Ribeiro,Costa Rica
383,Enzo Gabriel Siqueira,Niue
384,Ana Sophia Fonseca,Irlanda
385,Allana Albuquerque,Kuwait
386,Maria Luiza Pereira,Níger
387,Lara Freitas,Ucrânia
388,Rhavi Fernandes,São Pedro e Miquelon
389,Diogo Gomes,Montenegro
390,Lavínia Farias,Libéria
391,Vitória Martins,Panamá
392,Heitor da Rocha,Togo
393,Srta. Ana Júlia Almeida,Vanuatu
394,Maria Cecília da Mota,Egito
395,Bianca Fogaça,Argentina
396,Bruna da Mata,Congo-Kinshasa
397,Maria Luiza Siqueira,Navassa Island
398,Marina Pinto,Níger
399,Mariana Farias,Quiribáti
400,Mirella Siqueira,Somália
401,Lorena Rios,Coreia do Sul
402,Fernando Mendes,Turquemenistão
403,Davi Luiz Moreira,Portugal
404,Davi Miguel Fernandes,Turquia
405,Marina da Luz,Tunísia
406,Sr. Nathan Aragão,Guiné Equatorial
407,Ravy Novais,Mongólia
408,Dr. Pedro da Cruz,Egito
409,Maria Júlia da Paz,Islândia
410,Otto Borges,Togo
411,Benicio Barros,Paquistão
412,Nina Silveira,Áustria
413,Marina Cardoso,Catar
414,Otto Ferreira,Santa Helena
415,Larissa Novaes,Antártica
416,Luna Fonseca,Níger
417,Luiz Otávio Sousa,Eslovênia
418,Alícia Borges,Zâmbia
419,Pedro Lucas Pinto,Azerbaijão
420,João Vitor Marques,Honduras
421,João Miguel Sá,Croácia
422,Vitor Hugo Brito,Etiópia
423,Ian Cavalcanti,Sudão
424,Danilo da Luz,Namíbia
425,Eduardo Andrade,Israel
426,Ágatha da Rosa,Monserrate
427,Maria Luiza Novaes,Camboja
428,Apollo Castro,Islândia
429,Ravi Lucca Siqueira,Eslováquia
430,Srta. Maria Clara da Rosa,Samoa
431,Fernando Rodrigues,Paracel Islands
432,Dr. Arthur Oliveira,Países Baixos
433,Ísis da Cunha,Akrotiri
434,Eduardo Fernandes,Sara Ocidental
435,Beatriz Costela,Suazilândia
436,Ana Júlia da Paz,Ilhas Salomão
437,Yasmin Mendonça,Jamaica
438,Luan Teixeira,Território Britânico do Oceano Índico
439,Sr. Diogo Rodrigues,Chipre
440,Carlos Eduardo Santos,Kuwait
441,José Pinto,Paraguai
442,Daniel Martins,Albânia
443,Vicente Martins,Canadá
444,João Felipe Sá,Bulgária
445,Enzo da Mata,Ilhas Falkland
446,Sr. Luigi Siqueira,Egito
447,Dr. Vicente Rios,Costa Rica
448,Maitê Ferreira,Uruguai
449,Dr. Rafael Teixeira,Guiné-Bissau
450,Maria Laura Siqueira,Andorra
451,Ayla Nunes,Timor Leste
452,Levi Nascimento,Quiribáti
453,Joana Fogaça,Etiópia
454,Augusto Câmara,Síria
455,Davi Miguel Abreu,Bahamas
456,Dr. Erick Sousa,Malásia
457,André Garcia,Croácia
458,Jade da Conceição,Faroé
459,Isabella Pinto,Tailândia
460,Luiz Miguel Fernandes,Costa Rica
461,Diego Garcia,Gana
462,Dr. Yago Campos,Ashmore and Cartier Islands
463,Pedro Cavalcanti,Rússia
464,Dr. Luiz Fernando Oliveira,Croácia
465,Eloá da Cruz,Dhekelia
466,Cauê Montenegro,Moçambique
467,Otávio Rios,Ilha de Man
468,Rebeca da Rocha,Peru
469,Gustavo Azevedo,Dhekelia
470,Lavínia Pinto,Trindade e Tobago
471,Ravy Farias,Congo-Brazzaville
472,Maria Liz Aragão,Chipre
473,Ana Ferreira,Uruguai
474,Vitor Gabriel da Costa,Costa do Marfim
475,Oliver Andrade,Moldávia
476,Luan Martins,Tanzânia
477,Catarina Ramos,Nova Zelândia
478,Raul Carvalho,Bahamas
479,Diogo Fonseca,Tonga
480,Diogo Castro,Vanuatu
481,Benjamim Barros,Azerbaijão
482,Isis Dias,Guernsey
483,Mariane Barbosa,Indonésia
484,Davi Guerra,Bolívia
485,Gael Machado,Coreia do Sul
486,Samuel Cassiano,Mônaco
487,Melissa Câmara,Aruba
488,Dante Pereira,Espanha
489,Alana Leão,Haiti
490,Otto Sá,Libéria
491,Sr. Anthony Costa,São Tomé e Príncipe
492,Sra. Laís Martins,São Pedro e Miquelon
493,Ravy Sá,Níger
494,Davi Lucas Sá,Zimbábue
495,Rafael Barbosa,Svalbard e Jan Mayen
496,Samuel Cavalcante,Brunei
497,Dr. Vinicius Gomes,Venezuela
498,Giovanna Albuquerque,Somália
499,Helena Farias,Eritreia
500,Sra. Ana Lívia Lima,Domínica
501,Dr. João Miguel Pacheco,Kuwait
502,Sra. Ísis Aparecida,Eslováquia
503,Camila Sá,Áustria
504,Felipe Farias,Bahamas
505,Juliana Porto,São Cristóvão e Neves
506,Sr. Leandro Ramos,Domínica
507,Alexandre Moura,Maldivas
508,Carlos Eduardo Souza,Marianas do Norte
509,Miguel da Cruz,Uruguai
510,Anthony Gabriel Costa,Argentina
511,Srta. Ana Luiza Ribeiro,Nauru
512,Dra. Ana Cecília Casa Grande,Equador
513,Pedro Vieira,Bolívia
514,Antony Pacheco,Ruanda
515,Joana Farias,China
516,Clara Casa Grande,Trindade e Tobago
517,Miguel Cunha,Zimbábue
518,Luigi Cardoso,Libéria
519,Maria Liz Teixeira,Bielorrússia
520,Helena Gonçalves,Guernsey
521,Dra. Elisa Alves,Suriname
522,Paulo da Costa,Cuba
523,Srta. Alícia Silveira,São Pedro e Miquelon
524,Otto da Paz,Omã
525,Srta. Isis Machado,São Marinho
526,Sra. Raquel Sá,Eslováquia
527,Kamilly Viana,Eslováquia
528,Mathias Alves,Jersey
529,Enrico Moreira,Senegal
530,Maria Júlia Gomes,Guiné
531,Beatriz Camargo,Moldávia
532,Calebe Sales,Iêmen
533,Renan Cirino,Arábia Saudita
534,Maria Julia Vasconcelos,Mongólia
535,Valentim Rios,Quênia
536,Natália da Rosa,Bélgica
537,Emilly Vasconcelos,Zâmbia
538,Srta. Bruna das Neves,África do Sul
539,Clara Lima,Armênia
540,Luiz Henrique Cassiano,Monserrate
541,Alexia Rocha,Suriname
542,Bento da Rocha,Timor Leste
543,Sr. Diogo Silva,Nova Caledónia
544,Maria Vitória Montenegro,Senegal
545,Zoe Pacheco,Quirguizistão
546,Lucas Gabriel Pires,Nova Caledónia
547,Ana Clara Marques,Níger
548,Alexandre Moreira,Kuwait
549,Pietro da Cruz,Níger
550,Davi Lucas Campos,Jibuti
551,Thiago da Mota,Polônia
552,Sara Carvalho,Macau
553,Sr. Ryan Gonçalves,Cazaquistão
554,Otto Caldeira,Polinésia Francesa
555,Luiz Felipe Pimenta,Guiné-Bissau
556,Maria Flor Oliveira,Akrotiri
557,André Correia,Eslovênia
558,Thales Araújo,Bolívia
559,Pedro Henrique Porto,Marianas do Norte
560,Benjamim Jesus,Letônia
561,Anna Liz Vasconcelos,Brunei
562,Srta. Stella Camargo,Samoa Americana
563,Sophia Nascimento,Uruguai
564,Vicente Freitas,Espanha
565,André da Luz,Jan Mayen
566,Sr. Matheus Barbosa,Comores
567,Bella Campos,Vanuatu
568,Henry Abreu,Tunísia
569,Benjamin da Luz,Finlândia
570,Sr. Isaque Caldeira,Andorra
571,Dr. João Lucas Rodrigues,Svalbard e Jan Mayen
572,Vitória Rezende,Navassa Island
573,Juliana Ferreira,Uganda
574,Sra. Stella Macedo,Cuba
575,Luiz Miguel Sampaio,Suíça
576,Ana Liz Aparecida,São Tomé e Príncipe
577,José Pedro Castro,Suazilândia
578,Srta. Sophia Gonçalves,Angola
579,Sabrina Novais,República Dominicana
580,Thomas Rocha,Jan Mayen
581,Francisco Silveira,Samoa Americana
582,Diego Pereira,México
583,José Pedro Costela,Benim
584,Sr. Miguel Garcia,Estônia
585,Juan Viana,Tokelau
586,Pedro Lucas Castro,Noruega
587,Vinícius da Luz,Ilhas Heard e McDonald
588,João Gabriel Moraes,Argélia
589,Srta. Larissa Vargas,Mali
590,Luísa Teixeira,Mali
591,Dr. Luan Novais,Togo
592,Davi Lucas Guerra,Sara Ocidental
593,João Lucas Moura,Belize
594,Yan Aragão,Palau
595,Dr. Arthur Gabriel Vieira,Espanha
596,Sr. Ravi Lucca Silva,Faroé
597,Pietra Aragão,Guam
598,Francisco Guerra,Eritreia
599,Matheus Fogaça,Dinamarca
600,Maria Sophia Pastor,Tailândia
601,Maria Helena Almeida,São Marinho
602,Srta. Isis Nogueira,Hungria
603,Dr. Davi Lucca Alves,Tonga
604,Maria Júlia Azevedo,Ilhas Salomão
605,Ana Beatriz Siqueira,Brunei
606,Beatriz Rocha,Finlândia
607,Erick Lopes,Trindade e Tobago
608,Maya da Cruz,Síria
609,Isadora Moura,Anguila
610,Renan Rios,Suriname
611,Emanuella Aragão,Usbequistão
612,Lunna Freitas,Geórgia
613,Clara Silva,Kuwait
614,Luísa da Luz,Índia
615,Kaique Novais,Chade
616,Hellena Alves,Bulgária
617,Ian Novaes,Venezuela
618,Luiz Henrique Nogueira,Chade
619,Benício Marques,Papua-Nova Guiné
620,Dr. Luiz Henrique Moura,Iêmen
621,Rael da Mota,Mayotte
622,Dra. Marcela Cunha,Ilhas Virgens Britânicas
623,Bella Rios,Israel
624,Maria Sophia Siqueira,União Europeia
625,Ana Carolina Pimenta,Belize
626,Eduardo da Conceição,Geórgia
627,Dr. Théo da Conceição,Porto Rico
628,Theodoro Pacheco,Dinamarca
629,Cauã Nogueira,Dhekelia
630,Thomas Pereira,Faroé
631,Carlos Eduardo Fogaça,Nova Zelândia
632,Luna Marques,México
633,Stella Fernandes,Barbados
634,Liam Albuquerque,Trindade e Tobago
635,Sra. Emanuelly Novaes,Eritreia
636,Stella Cardoso,Butão
637,Felipe da Mata,Egito
638,Heitor Albuquerque,Filipinas
639,Maria Cecília Cirino,Jan Mayen
640,Emanuel Borges,Singapura
641,Srta. Joana Vargas,Serra Leoa
642,Dr. Ravi Lucca Araújo,Angola
643,Alice Sales,Costa Rica
644,Bruno Garcia,Vanuatu
645,Mathias Aparecida,Afeganistão
646,Kaique Cassiano,Tonga
647,Alana Teixeira,Argélia
648,Davi Lucas Cunha,Antártica
649,Srta. Alana Correia,Tonga
650,Julia Campos,Granada
651,Arthur Miguel Silva,Taiwan
652,Bárbara Rios,Barbados
653,Henry Farias,Svalbard e Jan Mayen
654,Sr. Luiz Miguel Andrade,Israel
655,Isaque Cavalcanti,Ilhas Salomão
656,Antônio Machado,Vaticano
657,João Felipe Porto,Palau
658,Diego Monteiro,Santa Lúcia
659,Davi Miguel da Paz,Monserrate
660,Dra. Luna Ramos,Comores
661,Brayan Pinto,Bolívia
662,Bryan Andrade,Quirguizistão
663,André Albuquerque,Coreia do Sul
664,Dra. Milena Farias,Egito
665,Catarina Sá,Ilhas dos Cocos
666,Anthony Sá,Maurícia
667,Daniela Nunes,Suriname
668,Sra. Maria Júlia Caldeira,Turquemenistão
669,Bruna Moreira,Letônia
670,Gabriela Gonçalves,Groenlândia
671,André Jesus,Síria
672,Henry Moura,Salvador
673,Gael Henrique da Mata,Groenlândia
674,Mariah Novais,Argentina
675,Vitor Abreu,Sara Ocidental
676,Gabriela Vasconcelos,Ilhas Marshall
677,Apollo Brito,Albânia
678,Ester Carvalho,Lesoto
679,Davi Lucas Novaes,Ilhas Marshall
680,Thiago da Paz,Reino Unido
681,Dr. Vinícius Pereira,Colômbia
682,Aylla Cassiano,Barein
683,João Felipe Pires,Indonésia
684,Luiz Otávio Albuquerque,Antígua e Barbuda
685,Eloah Viana,Mauritânia
686,Allana Campos,China
687,Davi Lucca da Conceição,Eritreia
688,Pedro das Neves,Argélia
689,Cecília da Cunha,Niue
690,Cecília Rezende,Moldávia
691,Lucas Gabriel Correia,França
692,Valentim Camargo,Domínica
693,Alice Rios,Afeganistão
694,Dra. Julia Ramos,Kuwait
695,Juliana Vargas,Indonésia
696,Anthony Cardoso,Bósnia e Herzegovina
697,Marina Ferreira,Líbano
698,Maysa Leão,Israel
699,Antony Peixoto,Ilhas Falkland
700,Ravi Lucca Castro,Guernsey
701,Ana Beatriz da Cunha,Nepal
702,João Pedro da Cruz,Ilhas Heard e McDonald
703,Beatriz Câmara,Dinamarca
704,Dra. Isabella Moraes,Omã
705,Pedro Sampaio,Faroé
706,Rael Guerra,Tajiquistão
707,Otto Nascimento,Uganda
708,Breno Rodrigues,Suíça
709,Dr. João Castro,Costa Rica
710,Ryan da Conceição,Tanzânia
711,Alexia Camargo,Burundi
712,Apollo Lopes,Laos
713,Ana Beatriz Farias,Kuwait
714,Pedro Miguel da Luz,Senegal
715,Srta. Brenda Pacheco,Aruba
716,Luna Pacheco,Serra Leoa
717,Dr. Vinícius Martins,Niue
718,Pedro Monteiro,Maurícia
719,João Vitor Cardoso,Usbequistão
720,Daniel da Rosa,Guiné-Bissau
721,Marcela da Paz,Belize
722,Sr. Ravi Brito,Cuba
723,Dra. Maria Alice Vargas,Mauritânia
724,João Vitor Vieira,Reino Unido
725,Dra. Bárbara Moraes,Antártica
726,Mateus Fernandes,Luxemburgo
727,Asafe Cirino,Uruguai
728,Anna Liz Albuquerque,Paquistão
729,Antony Costela,Guam
730,Kaique da Cunha,Senegal
731,Ana Luiza Cunha,Porto Rico
732,Yasmin Rezende,Costa Rica
733,Luiz Gustavo da Luz,Líbano
734,Evelyn Casa Grande,Rússia
735,João Vitor Andrade,Israel
736,Ana Carolina Guerra,Coral Sea Islands
737,Sarah Cavalcante,Panamá
