id_endereco,id_cliente,rua,numero,cidade,estado,cep
176,20347,Ladeira de Montenegro,977,Nascimento de Brito,RJ,64804527
177,4648,Feira Carvalho,82,Freitas,RN,77261837
178,4922,Vale Oliveira,5,Santos,AL,76795-646
179,18221,Ladeira de Gonçalves,24,Fonseca,RN,14856511
180,23885,Vila Pedro da Rosa,16,Monteiro Alegre,MT,66303167
181,14495,Vale Juliana Peixoto,60,Monteiro da Praia,MS,29992653
182,19622,Estação de Moura,1,Cavalcante,AC,35693070
183,9011,Ladeira Teixeira,92,Nogueira do Amparo,MS,16988471
184,9694,Praça de Almeida,599,Rocha das Flores,PB,98902263
185,7470,Morro de Pires,44,Cardoso Grande,MT,92292760
186,3178,Praça de Rocha,483,Fonseca,BA,42827-112
187,13644,Colônia Otávio da Cunha,4,Cirino,MS,32199768
188,21303,Quadra Ravy Abreu,496,Cardoso Paulista,DF,79916-284
189,10384,Alameda Juan Silva,77,da Costa,DF,11065-204
190,13320,Jardim Siqueira,49,Silveira de Almeida,PE,23633-605
191,16692,Trecho de Pacheco,1,Rodrigues dos Dourados,PB,46785-044
192,18430,Fazenda Kaique Azevedo,27,Machado da Serra,RR,82161375
193,24146,Condomínio de Barros,32,da Mata das Pedras,BA,23239037
194,3583,Vale Campos,88,Porto,MS,89845393
195,444,Ladeira Rezende,81,da Conceição,MG,42682-015
196,8746,Largo de Oliveira,23,Nascimento de Pereira,TO,94844926
197,887,Vila Anthony da Costa,6,das Neves,SE,86998823
198,15151,Estação de Lima,2,Fogaça Paulista,SP,01960090
199,24670,Esplanada de da Costa,96,Gomes do Amparo,AP,78219-715
200,21326,Esplanada de Novaes,92,Jesus,RS,02413452
201,20193,Largo de Farias,26,Siqueira,DF,37810-702
202,14440,Praça Nicole Jesus,35,da Mata da Mata,AM,15159-404
203,21782,Praça Mendes,2,Leão,AP,67827-462
204,14090,Rodovia Ribeiro,946,das Neves,ES,07589-185
205,24710,Viela de Siqueira,647,Pires de Moura,DF,17749219
206,10914,Distrito Otto Moraes,46,Machado,SP,93943395
207,8633,Vila de Cirino,42,Sousa da Prata,PA,80312-478
208,400,Setor Gael Henrique Novaes,36,Cardoso da Serra,RR,36177-437
209,12232,Quadra Duarte,12,Azevedo,PE,37852910
210,2200,Loteamento Cardoso,99,Ferreira,PB,53822-313
211,5204,Vale de da Paz,54,Moreira do Galho,GO,46330-664
212,7673,Rua Marques,61,Cavalcanti,MA,89636690
213,9046,Setor de Cassiano,45,Santos das Flores,ES,40906347
214,17454,Viela de Aparecida,50,Nascimento,MT,00477628
215,9302,Aeroporto de Viana,44,da Mata de Borges,AL,47464-302
216,9787,Travessa de da Costa,29,Alves do Amparo,RR,98106-030
217,8519,Viela Fernandes,51,Cavalcanti,MG,88178-435
218,2224,Distrito Joana Fogaça,19,Vargas,PA,72935288
219,15722,Vale Carvalho,85,Vieira Paulista,SE,76464406
220,5818,Loteamento Gael Santos,4,Fernandes Grande,CE,89929287
221,21130,Quadra Mathias Cardoso,787,Pereira de Barros,DF,73440-110
222,17441,Rua Borges,5,Sales,RO,05622490
223,12318,Conjunto Castro,9,Viana das Pedras,BA,81842-839
224,11683,Área Pacheco,17,Cavalcante,PR,55788-879
225,17801,Recanto da Luz,2,Cirino,RN,77772-984
226,14751,Via de Peixoto,42,Caldeira do Norte,GO,18030-426
227,23364,Rodovia Casa Grande,53,da Cruz de Vieira,RN,36025670
228,19131,Distrito Mendes,3,Porto,MS,93505035
229,21526,Campo Josué Cardoso,23,Machado,PA,90844-910
230,24294,Quadra Noah Siqueira,54,Cavalcanti de Marques,SP,82482-015
231,13527,Área de Fogaça,3,Ribeiro,RR,11824-842
232,2087,Loteamento Anna Liz Rios,43,Nascimento de Santos,TO,83433903
233,7423,Largo da Cruz,5,Garcia de Gonçalves,AL,43365682
234,13626,Loteamento Gael Henrique Carvalho,55,Freitas,SE,45970471
235,8422,Alameda Ana Costa,80,Melo,CE,72042-106
236,6871,Morro de Nogueira,20,Ferreira,ES,73142-390
237,2110,Sítio de Sá,51,Souza,PI,84142468
238,1683,Estação de Sampaio,2,Teixeira,AC,93753-691
239,23651,Jardim Kamilly Brito,94,Araújo do Oeste,RN,77416690
240,9979,Morro de Gomes,31,Pinto,RJ,85658-957
241,18256,Condomínio de Pires,4,Mendes,GO,39998-057
242,16993,Área Cavalcante,24,Camargo,ES,44865-702
243,19146,Aeroporto Juan Jesus,19,das Neves,ES,50321424
244,13201,Avenida de Rezende,444,Pastor,RN,85567-630
245,3888,Praia Fernandes,82,da Cruz,MA,26485646
246,9019,Passarela André Moreira,2,Mendes,AM,95617-562
247,7053,Área de Souza,98,Aparecida,MS,08554-789
248,7131,Jardim Rezende,37,da Luz de Machado,MT,17368488
249,17282,Travessa Nascimento,95,Castro das Flores,AM,41475-237
250,2648,Aeroporto de Pinto,8,da Conceição,RR,07715-449
251,6296,Quadra Oliveira,920,Gonçalves das Pedras,MG,09226-498
252,350,Rua Melissa Cavalcante,81,Peixoto do Amparo,RR,39897-000
253,19019,Jardim Ferreira,37,Cardoso,PA,39848-779
254,8547,Praça Fonseca,12,Borges,MT,69085726
255,17246,Conjunto de Melo,68,Silveira do Galho,RR,50070-801
256,22999,Viela Jesus,3,Lopes da Mata,GO,58642-578
257,6185,Largo Calebe Monteiro,1,Rezende,AP,78455283
258,6816,Colônia Abreu,34,Mendes,SP,10645-179
259,19892,Trecho de da Mata,4,Rios da Serra,AP,82133187
260,20312,Via de da Conceição,19,Azevedo de Teixeira,RO,72678-580
261,7255,Largo Pedro Henrique Correia,25,Ramos,MA,39801013
262,12194,Avenida Vasconcelos,15,Peixoto de Cardoso,BA,46022377
263,5291,Viela Dias,85,Vargas Grande,RR,94414-562
264,14893,Loteamento Bruna das Neves,57,Pacheco,MS,03562-079
265,24513,Conjunto Sara Andrade,72,Pires,DF,01769-239
266,17407,Núcleo Sá,184,Gonçalves do Galho,RN,61013-607
267,5713,Alameda Maria Helena Aragão,78,Caldeira,AL,53657-853
268,317,Praia Bianca Farias,40,da Mata,PE,70016-464
269,15508,Vila Heitor Araújo,23,Rezende,RN,85963154
270,15236,Alameda Augusto Barros,77,da Rocha do Galho,MS,56233947
271,17711,Núcleo Sales,23,Cavalcante,PI,47604139
272,1862,Favela Silva,93,Moraes,PA,26494-917
273,15003,Jardim de Novaes,3,Garcia,RJ,22216-024
274,17199,Praça da Mata,36,Sousa,MT,02554-749
275,8977,Avenida Macedo,23,da Luz dos Dourados,MA,04818690
276,24307,Conjunto de Nunes,983,Fogaça,MS,92667976
277,3236,Vila Fernandes,623,Borges de Nascimento,MA,49906-858
278,6298,Jardim Pedro Barros,6,Santos,MG,91197-966
279,2151,Avenida Mariane Camargo,40,Pires da Prata,BA,51203709
280,7427,Favela Teixeira,74,Cavalcante,MT,58872019
281,11698,Esplanada de Pastor,47,Rocha,CE,42970-745
282,6837,Rodovia Pacheco,55,Moreira,ES,03756-723
283,19847,Aeroporto de Sales,60,Souza,PR,21797101
284,11332,Estação Lorenzo Freitas,1,Farias,AP,08185683
285,11839,Travessa de Moura,96,Nunes,MS,56895876
286,2657,Morro Luna Rios,1,Cardoso de Goiás,MG,35076-494
287,18805,Passarela de Andrade,873,da Costa Verde,RS,88205522
288,11699,Vale João Vitor Machado,34,Cassiano,RJ,15498822
289,11187,Estação de Pimenta,62,Garcia,AM,57766845
290,5536,Viela de Santos,38,Ramos,MG,43124190
291,18664,Favela de Vargas,86,da Cruz,AL,84737741
292,1896,Recanto Vitor Hugo Fernandes,98,Nascimento,RR,04294-927
293,805,Estrada Ayla Sá,88,Castro,PE,98418622
294,19750,Ladeira Juan Dias,2,Garcia,RR,30555554
295,12980,Ladeira Ana Liz Novaes,658,Martins,RJ,72915306
296,19002,Loteamento de Aragão,85,Freitas,AP,73211021
297,13101,Vila de Oliveira,46,Abreu,MS,39572687
298,4065,Alameda Laura da Cruz,6,Sampaio das Pedras,RR,04166-357
299,14268,Trevo Souza,19,Cardoso,AL,26475533
300,7298,Travessa Rodrigues,181,Cirino,PB,41726320
301,24864,Trevo Moura,52,Cavalcante,MT,72567689
302,19469,Aeroporto Machado,79,Borges de Minas,SC,05741550
303,5387,Estrada Bella Leão,73,da Cunha de Lopes,RN,02257047
304,10891,Área Cunha,39,Mendonça do Amparo,DF,98827-825
305,15174,Condomínio das Neves,2,Cirino da Serra,SC,42086-066
306,9910,Travessa da Conceição,267,Barros,PE,11053-571
307,16240,Parque Sampaio,67,Marques,DF,33988550
308,1931,Viaduto de Teixeira,98,Cunha,MT,74793692
309,19951,Viela de Viana,4,Cunha,RR,81773-158
310,22798,Pátio Costa,27,Rezende do Amparo,RO,36305763
311,7386,Loteamento de Dias,226,Rodrigues,DF,83579701
312,2996,Esplanada Thales Moraes,87,da Rocha,PA,61050211
313,4897,Parque Montenegro,931,Rocha,PR,69191-235
314,1711,Sítio de Mendes,3,Castro,AL,41321-528
315,10248,Praia de Andrade,12,Cirino,DF,48253-161
316,7576,Quadra Elisa Lima,707,Dias de Mendonça,PR,35861731
317,22485,Largo de da Cunha,93,Moreira,MS,11614-680
318,9494,Ladeira Lorenzo Abreu,283,Correia,AC,13850-031
319,24973,Área de Correia,88,da Costa,MA,57091-384
320,11010,Condomínio de Rocha,66,Machado,PR,92207635
321,23927,Sítio Letícia Farias,60,Pires Verde,RO,22319035
322,15945,Condomínio Mendes,437,Araújo da Praia,BA,05050-125
323,20665,Praia Pinto,686,Ramos das Pedras,AL,35034913
324,23645,Praça Fogaça,3,Oliveira,MS,34612-392
325,5397,Passarela de Viana,97,das Neves da Serra,RO,50523-644
326,17645,Lagoa Duarte,37,Lima do Campo,PE,46199043
327,5951,Estação de Almeida,79,Rocha do Sul,MS,29225440
328,11514,Fazenda André Teixeira,56,Barbosa do Oeste,BA,09155469
329,3071,Estrada de da Luz,2,Ferreira,CE,53209644
330,3477,Distrito Lucca Rios,21,Freitas,PI,29768-354
331,1643,Área de Brito,1,da Mata das Flores,RO,47349-721
332,15712,Distrito da Mota,945,Andrade de Souza,MA,48032861
333,3903,Rua de Machado,9,Cassiano das Flores,MS,33582-913
334,2876,Residencial Borges,4,Barbosa,SC,28430-179
335,13580,Viaduto Liam Ramos,4,da Mota,PR,30383696
336,2258,Jardim Eloá Silva,71,da Costa de Fonseca,BA,66332483
337,23655,Praça Laís Almeida,78,Araújo de Nunes,PI,35725-458
338,1816,Vereda de Albuquerque,93,Moreira do Campo,MS,38353-438
339,13731,Largo da Conceição,2,Leão de Casa Grande,RR,94806-370
340,18995,Área de Abreu,97,Sousa,PA,78064087
341,5694,Estação de Casa Grande,6,Pastor da Prata,MS,67183-824
342,22577,Morro Brayan Sales,78,Novais,RS,11628486
343,7058,Chácara Kamilly das Neves,6,Jesus,MG,57987-401
344,19180,Largo Cardoso,99,Correia,RO,02427-050
345,13907,Largo de Macedo,572,Siqueira,MG,31504-765
346,12692,Núcleo Gustavo Henrique Costa,18,Teixeira,RN,40527444
347,1871,Aeroporto de Costa,35,da Mata,RJ,01808-175
348,22016,Aeroporto Noah Santos,16,Silva das Flores,CE,44870717
349,10138,Largo Heitor da Mata,83,Garcia,AP,30843-794
350,15470,Jardim Emilly Machado,140,Gomes de Macedo,RN,93407448
351,17672,Conjunto Antonella Andrade,800,Costa Grande,AL,62708846
352,21364,Ladeira Porto,632,Fonseca,PB,38591-257
353,14517,Jardim das Neves,64,Aparecida,MT,81911937
354,21808,Jardim da Luz,6,Abreu das Flores,RO,14608050
355,16978,Parque Nicolas Cunha,66,Carvalho de Novaes,MA,52566831
356,6094,Trecho Theo Camargo,44,Fogaça do Campo,AC,52279522
357,17335,Rodovia Isabelly Pires,52,Porto,DF,57154-561
358,1758,Travessa Cavalcante,624,Pinto,BA,96768-289
359,23812,Largo Yan Borges,93,Viana de Guerra,AL,61841-462
360,21891,Condomínio Dias,42,Novais,MA,31359053
361,9144,Colônia Benjamin Melo,943,Martins de Ribeiro,PB,20899735
362,4287,Feira Vitória Cunha,474,da Cunha,RO,46654-430
363,15711,Colônia de Vasconcelos,82,Peixoto,RN,20641-259
364,5717,Estrada de Campos,957,Melo do Galho,MA,87105299
365,11759,Favela de Pimenta,582,Vargas,ES,86827931
366,4863,Núcleo Lucca Cardoso,85,Teixeira,AP,08826120
367,20776,Feira Casa Grande,446,Silveira do Campo,SP,09744699
368,23710,Trevo de Vargas,247,da Mata da Mata,RJ,30176-762
369,9458,Parque Pacheco,471,Lima,RJ,91270533
370,10714,Vila de da Rocha,195,da Rosa das Flores,RS,11621533
371,6116,Praça da Mota,12,Camargo,BA,03759-947
372,899,Avenida Vinícius Lopes,6,Rios Grande,RO,18155707
373,21192,Lagoa de da Cunha,2,da Cunha,RN,01781920
374,1403,Viaduto Fonseca,46,Teixeira,PB,45331-453
375,10215,Feira da Rosa,52,Duarte de Goiás,BA,23485731
376,15150,Trecho Correia,44,Aparecida de Caldeira,RS,32244-292
377,23747,Distrito Luara Mendonça,955,Pereira Paulista,BA,51157-057
378,9754,Praça Monteiro,80,Pastor,PB,13328199
379,1874,Pátio da Paz,51,Jesus,SC,28026-281
380,20691,Lago de Sampaio,233,da Rocha do Campo,RR,11974-324
381,24863,Pátio Pastor,42,Sá,RS,31344178
382,6626,Avenida Pimenta,4,Vargas de Sampaio,CE,98330315
383,19129,Parque Vicente Novaes,24,Cirino,BA,35794463
384,18433,Aeroporto de Oliveira,61,Casa Grande do Norte,MA,14970-605
385,11479,Viaduto Fernandes,65,Moraes,MG,72012-408
386,606,Estrada Silva,60,Freitas das Pedras,GO,95432985
387,15719,Quadra de Alves,460,Sá,BA,35341832
388,22278,Praça de Cunha,358,Ferreira,MG,28281485
389,6616,Alameda de Peixoto,92,Castro,AL,96679-357
390,6763,Recanto Augusto Melo,239,Peixoto do Galho,PR,58625975
391,8407,Alameda Laura Rodrigues,10,da Luz das Pedras,RJ,61230083
392,23986,Condomínio Samuel Jesus,23,da Mata de Casa Grande,AC,56398-558
393,6922,Pátio Aparecida,73,da Conceição de Rezende,AL,83205-312
394,11580,Vila Antonella Aragão,19,Brito da Serra,ES,86985363
395,15491,Rua de Costa,33,Caldeira,RJ,48998354
396,12836,Rodovia Ramos,18,Alves,PB,41815994
397,15846,Rua de Cirino,4,Souza,RR,64718894
398,7564,Trevo de Montenegro,18,Castro,AM,25865-070
399,499,Via Alícia Silveira,62,Cavalcanti das Pedras,DF,73401084
400,14914,Pátio Azevedo,9,Lima,MA,62350365
401,8035,Aeroporto Almeida,77,Fonseca da Mata,RN,95035068
402,1506,Favela de Nascimento,33,da Rosa de Jesus,PR,57367492
403,2651,Residencial João Cassiano,38,Alves Paulista,TO,22808-100
404,21751,Largo de Melo,12,Novais das Pedras,GO,57483-150
405,12607,Lago Luiz Felipe Montenegro,99,da Paz de Peixoto,SC,37442107
406,3326,Lagoa de Rios,47,Borges,MT,68672-546
407,8621,Favela Ana Júlia Silva,82,Rodrigues da Serra,SC,75159811
408,17100,Lagoa de Rocha,66,Silva da Praia,SC,31621-568
409,21292,Recanto Otávio Sá,13,Sousa da Mata,SC,60008-630
410,14429,Lagoa Kamilly da Cruz,4,Brito do Campo,TO,65327954
411,2523,Vila Gabriela Castro,78,Montenegro do Oeste,RN,05614-054
412,18634,Chácara de Cunha,4,Martins do Amparo,TO,33659-946
413,3141,Via de Abreu,31,Carvalho da Mata,RJ,91753-823
414,11583,Estação de Duarte,97,Novaes,AC,60262364
415,12806,Trecho Pimenta,2,Montenegro Grande,AC,34826935
416,20981,Ladeira Clarice Martins,9,Cunha,SE,41577-668
417,12407,Trevo Castro,981,Fernandes do Galho,RO,91399438
418,11270,Chácara de Pimenta,2,Silveira,SP,69865877
419,4607,Estrada Benjamim Vasconcelos,779,Pires do Norte,AC,18405-823
420,2948,Praia João Lucas Siqueira,4,Aparecida de Minas,PE,79732-484
421,21741,Setor de Macedo,80,Fernandes,BA,94262-144
422,6211,Residencial Peixoto,88,Cassiano dos Dourados,SE,14062-629
423,20779,Via de Fogaça,74,Casa Grande,TO,69462-523
424,11193,Residencial Gonçalves,22,Nunes da Serra,SP,43586-281
425,14773,Parque Luan Rodrigues,211,Camargo de Rocha,MS,34311735
426,18966,Praia de Silva,2,Lima,RR,31647501
